year,state,total_electoral_votes,candidate,electoral_votes
2008,Iowa,7,"Barack Obama, of Illinois",7
2008,Kansas,6,"Barack Obama, of Illinois",0
2008,Kentucky,8,"Barack Obama, of Illinois",0
2008,Louisiana,9,"Barack Obama, of Illinois",0
2008,Maine,4,"Barack Obama, of Illinois",4
2008,Maryland,10,"Barack Obama, of Illinois",10
2008,Massachusetts,12,"Barack Obama, of Illinois",12
2008,Michigan,17,"Barack Obama, of Illinois",17
2008,Minnesota,10,"Barack Obama, of Illinois",10
2008,Mississippi,6,"Barack Obama, of Illinois",0
2008,Missouri,11,"Barack Obama, of Illinois",0
2008,Montana,3,"Barack Obama, of Illinois",0
2008,Nebraska,5,"Barack Obama, of Illinois",1
2008,Nevada,5,"Barack Obama, of Illinois",5
2008,New Hampshire,4,"Barack Obama, of Illinois",4
2008,New Jersey,15,"Barack Obama, of Illinois",15
2008,New Mexico,5,"Barack Obama, of Illinois",5
2008,New York,31,"Barack Obama, of Illinois",31
2008,North Carolina,15,"Barack Obama, of Illinois",15
2008,North Dakota,3,"Barack Obama, of Illinois",0
2008,Ohio,20,"Barack Obama, of Illinois",20
2008,Oklahoma,7,"Barack Obama, of Illinois",0
2008,Oregon,7,"Barack Obama, of Illinois",7
2008,Pennsylvania,21,"Barack Obama, of Illinois",21
2008,Rhode Island,4,"Barack Obama, of Illinois",4
2008,South Carolina,8,"Barack Obama, of Illinois",0
2008,South Dakota,3,"Barack Obama, of Illinois",0
2008,Tennessee,11,"Barack Obama, of Illinois",0
2008,Texas,34,"Barack Obama, of Illinois",0
2008,Utah,5,"Barack Obama, of Illinois",0
2008,Vermont,3,"Barack Obama, of Illinois",3
2008,Virginia,13,"Barack Obama, of Illinois",13
2008,Washington,11,"Barack Obama, of Illinois",11
2008,West Virginia,5,"Barack Obama, of Illinois",0
2008,Wisconsin,10,"Barack Obama, of Illinois",10
2008,Wyoming,3,"Barack Obama, of Illinois",0
2008,Alabama,9,"John McCain, of Arizona",9
2008,Alaska,3,"John McCain, of Arizona",3
2008,Arizona,10,"John McCain, of Arizona",10
2008,Arkansas,6,"John McCain, of Arizona",6
2008,California,55,"John McCain, of Arizona",0
2008,Colorado,9,"John McCain, of Arizona",0
2008,Connecticut,7,"John McCain, of Arizona",0
2008,Delaware,3,"John McCain, of Arizona",0
2008,District of Columbia,3,"John McCain, of Arizona",0
2008,Florida,27,"John McCain, of Arizona",0
2008,Georgia,15,"John McCain, of Arizona",15
2008,Hawaii,4,"John McCain, of Arizona",0
2008,Idaho,4,"John McCain, of Arizona",4
2008,Illinois,21,"John McCain, of Arizona",0
2008,Indiana,11,"John McCain, of Arizona",0
2008,Iowa,7,"John McCain, of Arizona",0
2008,Kansas,6,"John McCain, of Arizona",6
2008,Kentucky,8,"John McCain, of Arizona",8
2008,Louisiana,9,"John McCain, of Arizona",9
2008,Maine,4,"John McCain, of Arizona",0
2008,Maryland,10,"John McCain, of Arizona",0
2008,Massachusetts,12,"John McCain, of Arizona",0
2008,Michigan,17,"John McCain, of Arizona",0
2008,Minnesota,10,"John McCain, of Arizona",0
2008,Mississippi,6,"John McCain, of Arizona",6
2008,Missouri,11,"John McCain, of Arizona",11
2008,Montana,3,"John McCain, of Arizona",3
2008,Nebraska,5,"John McCain, of Arizona",4
2008,Nevada,5,"John McCain, of Arizona",0
2008,New Hampshire,4,"John McCain, of Arizona",0
2008,New Jersey,15,"John McCain, of Arizona",0
2008,New Mexico,5,"John McCain, of Arizona",0
2008,New York,31,"John McCain, of Arizona",0
2008,North Carolina,15,"John McCain, of Arizona",0
2008,North Dakota,3,"John McCain, of Arizona",3
2008,Ohio,20,"John McCain, of Arizona",0
2008,Oklahoma,7,"John McCain, of Arizona",7
2008,Oregon,7,"John McCain, of Arizona",0
2008,Pennsylvania,21,"John McCain, of Arizona",0
2008,Rhode Island,4,"John McCain, of Arizona",0
2008,South Carolina,8,"John McCain, of Arizona",8
2008,South Dakota,3,"John McCain, of Arizona",3
2008,Tennessee,11,"John McCain, of Arizona",11
2008,Texas,34,"John McCain, of Arizona",34
2008,Utah,5,"John McCain, of Arizona",5
2008,Vermont,3,"John McCain, of Arizona",0
2008,Virginia,13,"John McCain, of Arizona",0
2008,Washington,11,"John McCain, of Arizona",0
2008,West Virginia,5,"John McCain, of Arizona",5
2008,Wisconsin,10,"John McCain, of Arizona",0
2008,Wyoming,3,"John McCain, of Arizona",3
2012,Alabama,9,"Barack Obama, of Illinois",0
2012,Alaska,3,"Barack Obama, of Illinois",0
2012,Arizona,11,"Barack Obama, of Illinois",0
2012,Arkansas,6,"Barack Obama, of Illinois",0
2012,California,55,"Barack Obama, of Illinois",55
2012,Colorado,9,"Barack Obama, of Illinois",9
2012,Connecticut,7,"Barack Obama, of Illinois",7
2012,Delaware,3,"Barack Obama, of Illinois",3
2012,District of Columbia,3,"Barack Obama, of Illinois",3
2012,Florida,29,"Barack Obama, of Illinois",29
2012,Georgia,16,"Barack Obama, of Illinois",0
2012,Hawaii,4,"Barack Obama, of Illinois",4
2012,Idaho,4,"Barack Obama, of Illinois",0
2012,Illinois,20,"Barack Obama, of Illinois",20
2012,Indiana,11,"Barack Obama, of Illinois",0
2012,Iowa,6,"Barack Obama, of Illinois",6
2012,Kansas,6,"Barack Obama, of Illinois",0
2012,Kentucky,8,"Barack Obama, of Illinois",0
2012,Louisiana,8,"Barack Obama, of Illinois",0
2012,Maine,4,"Barack Obama, of Illinois",4
2012,Maryland,10,"Barack Obama, of Illinois",10
2012,Massachusetts,11,"Barack Obama, of Illinois",11
2012,Michigan,16,"Barack Obama, of Illinois",16
2012,Minnesota,10,"Barack Obama, of Illinois",10
2012,Mississippi,6,"Barack Obama, of Illinois",0
2012,Missouri,10,"Barack Obama, of Illinois",0
2012,Montana,3,"Barack Obama, of Illinois",0
2012,Nebraska,5,"Barack Obama, of Illinois",0
2012,Nevada,6,"Barack Obama, of Illinois",6
2012,New Hampshire,4,"Barack Obama, of Illinois",4
2012,New Jersey,14,"Barack Obama, of Illinois",14
2012,New Mexico,5,"Barack Obama, of Illinois",5
2012,New York,29,"Barack Obama, of Illinois",29
2012,North Carolina,15,"Barack Obama, of Illinois",0
2012,North Dakota,3,"Barack Obama, of Illinois",0
2012,Ohio,18,"Barack Obama, of Illinois",18
2012,Oklahoma,7,"Barack Obama, of Illinois",0
2012,Oregon,7,"Barack Obama, of Illinois",7
2012,Pennsylvania,20,"Barack Obama, of Illinois",20
2012,Rhode Island,4,"Barack Obama, of Illinois",4
2012,South Carolina,9,"Barack Obama, of Illinois",0
2012,South Dakota,3,"Barack Obama, of Illinois",0
2012,Tennessee,11,"Barack Obama, of Illinois",0
2012,Texas,38,"Barack Obama, of Illinois",0
2012,Utah,6,"Barack Obama, of Illinois",0
2012,Vermont,3,"Barack Obama, of Illinois",3
2012,Virginia,13,"Barack Obama, of Illinois",13
2012,Washington,12,"Barack Obama, of Illinois",12
2012,West Virginia,5,"Barack Obama, of Illinois",0
2012,Wisconsin,10,"Barack Obama, of Illinois",10
2012,Wyoming,3,"Barack Obama, of Illinois",0
2012,Alabama,9,"Mitt Romney, of Massachusetts",9
2012,Alaska,3,"Mitt Romney, of Massachusetts",3
2012,Arizona,11,"Mitt Romney, of Massachusetts",11
2012,Arkansas,6,"Mitt Romney, of Massachusetts",6
2012,California,55,"Mitt Romney, of Massachusetts",0
2012,Colorado,9,"Mitt Romney, of Massachusetts",0
2012,Connecticut,7,"Mitt Romney, of Massachusetts",0
2012,Delaware,3,"Mitt Romney, of Massachusetts",0
2012,District of Columbia,3,"Mitt Romney, of Massachusetts",0
2012,Florida,29,"Mitt Romney, of Massachusetts",0
2012,Georgia,16,"Mitt Romney, of Massachusetts",16
2012,Hawaii,4,"Mitt Romney, of Massachusetts",0
2012,Idaho,4,"Mitt Romney, of Massachusetts",4
2012,Illinois,20,"Mitt Romney, of Massachusetts",0
2012,Indiana,11,"Mitt Romney, of Massachusetts",11
2012,Iowa,6,"Mitt Romney, of Massachusetts",0
2012,Kansas,6,"Mitt Romney, of Massachusetts",6
2012,Kentucky,8,"Mitt Romney, of Massachusetts",8
2012,Louisiana,8,"Mitt Romney, of Massachusetts",8
2012,Maine,4,"Mitt Romney, of Massachusetts",0
2012,Maryland,10,"Mitt Romney, of Massachusetts",0
2012,Massachusetts,11,"Mitt Romney, of Massachusetts",0
2012,Michigan,16,"Mitt Romney, of Massachusetts",0
2012,Minnesota,10,"Mitt Romney, of Massachusetts",0
2012,Mississippi,6,"Mitt Romney, of Massachusetts",6
2012,Missouri,10,"Mitt Romney, of Massachusetts",10
2012,Montana,3,"Mitt Romney, of Massachusetts",3
2012,Nebraska,5,"Mitt Romney, of Massachusetts",5
2012,Nevada,6,"Mitt Romney, of Massachusetts",0
2012,New Hampshire,4,"Mitt Romney, of Massachusetts",0
2012,New Jersey,14,"Mitt Romney, of Massachusetts",0
2012,New Mexico,5,"Mitt Romney, of Massachusetts",0
2012,New York,29,"Mitt Romney, of Massachusetts",0
2012,North Carolina,15,"Mitt Romney, of Massachusetts",15
2012,North Dakota,3,"Mitt Romney, of Massachusetts",3
2012,Ohio,18,"Mitt Romney, of Massachusetts",0
2012,Oklahoma,7,"Mitt Romney, of Massachusetts",7
2012,Oregon,7,"Mitt Romney, of Massachusetts",0
2012,Pennsylvania,20,"Mitt Romney, of Massachusetts",0
2012,Rhode Island,4,"Mitt Romney, of Massachusetts",0
2012,South Carolina,9,"Mitt Romney, of Massachusetts",9
2012,South Dakota,3,"Mitt Romney, of Massachusetts",3
2012,Tennessee,11,"Mitt Romney, of Massachusetts",11
2012,Texas,38,"Mitt Romney, of Massachusetts",38
2012,Utah,6,"Mitt Romney, of Massachusetts",6
2012,Vermont,3,"Mitt Romney, of Massachusetts",0
2012,Virginia,13,"Mitt Romney, of Massachusetts",0
2012,Washington,12,"Mitt Romney, of Massachusetts",0
2012,West Virginia,5,"Mitt Romney, of Massachusetts",5
2012,Wisconsin,10,"Mitt Romney, of Massachusetts",0
2012,Wyoming,3,"Mitt Romney, of Massachusetts",3
2016,Alabama,9,"Donald Trump,  of New York",9
2016,Alaska,3,"Donald Trump,  of New York",3
2016,Arizona,11,"Donald Trump,  of New York",11
2016,Arkansas,6,"Donald Trump,  of New York",6
2016,California,55,"Donald Trump,  of New York",0
2016,Colorado,9,"Donald Trump,  of New York",0
2016,Connecticut,7,"Donald Trump,  of New York",0
2016,Delaware,3,"Donald Trump,  of New York",0
2016,District of Columbia,3,"Donald Trump,  of New York",0
2016,Florida,29,"Donald Trump,  of New York",29
2016,Georgia,16,"Donald Trump,  of New York",16
2016,Hawaii,4,"Donald Trump,  of New York",0
2016,Idaho,4,"Donald Trump,  of New York",4
2016,Illinois,20,"Donald Trump,  of New York",0
2016,Indiana,11,"Donald Trump,  of New York",11
2016,Iowa,6,"Donald Trump,  of New York",6
2016,Kansas,6,"Donald Trump,  of New York",6
2016,Kentucky,8,"Donald Trump,  of New York",8
2016,Louisiana,8,"Donald Trump,  of New York",8
2016,Maine,4,"Donald Trump,  of New York",1
2016,Maryland,10,"Donald Trump,  of New York",0
2016,Massachusetts,11,"Donald Trump,  of New York",0
2016,Michigan,16,"Donald Trump,  of New York",16
2016,Minnesota,10,"Donald Trump,  of New York",0
2016,Mississippi,6,"Donald Trump,  of New York",6
2016,Missouri,10,"Donald Trump,  of New York",10
2016,Montana,3,"Donald Trump,  of New York",3
2016,Nebraska,5,"Donald Trump,  of New York",5
2016,Nevada,6,"Donald Trump,  of New York",0
2016,New Hampshire,4,"Donald Trump,  of New York",0
2016,New Jersey,14,"Donald Trump,  of New York",0
2016,New Mexico,5,"Donald Trump,  of New York",0
2016,New York,29,"Donald Trump,  of New York",0
2016,North Carolina,15,"Donald Trump,  of New York",15
2016,North Dakota,3,"Donald Trump,  of New York",3
2016,Ohio,18,"Donald Trump,  of New York",18
2016,Oklahoma,7,"Donald Trump,  of New York",7
2016,Oregon,7,"Donald Trump,  of New York",0
2016,Pennsylvania,20,"Donald Trump,  of New York",20
2016,Rhode Island,4,"Donald Trump,  of New York",0
2016,South Carolina,9,"Donald Trump,  of New York",9
2016,South Dakota,3,"Donald Trump,  of New York",3
2016,Tennessee,11,"Donald Trump,  of New York",11
2016,Texas,38,"Donald Trump,  of New York",36
2016,Utah,6,"Donald Trump,  of New York",6
2016,Vermont,3,"Donald Trump,  of New York",0
2016,Virginia,13,"Donald Trump,  of New York",0
2016,Washington,12,"Donald Trump,  of New York",0
2016,West Virginia,5,"Donald Trump,  of New York",5
2016,Wisconsin,10,"Donald Trump,  of New York",10
2016,Wyoming,3,"Donald Trump,  of New York",3
2016,Alabama,9,Other,0
2016,Alaska,3,Other,0
2016,Arizona,11,Other,0
2016,Arkansas,6,Other,0
2016,California,55,Other,0
2016,Colorado,9,Other,0
2016,Connecticut,7,Other,0
2016,Delaware,3,Other,0
2016,District of Columbia,3,Other,0
2016,Florida,29,Other,0
2016,Georgia,16,Other,0
2016,Hawaii,4,Other,0
2016,Idaho,4,Other,0
2016,Illinois,20,Other,0
2016,Indiana,11,Other,0
2016,Iowa,6,Other,0
2016,Kansas,6,Other,0
2016,Kentucky,8,Other,0
2016,Louisiana,8,Other,0
2016,Maine,4,Other,0
2016,Maryland,10,Other,0
2016,Massachusetts,11,Other,0
2016,Michigan,16,Other,0
2016,Minnesota,10,Other,0
2016,Mississippi,6,Other,0
2016,Missouri,10,Other,0
2016,Montana,3,Other,0
2016,Nebraska,5,Other,0
2016,Nevada,6,Other,0
2016,New Hampshire,4,Other,0
2016,New Jersey,14,Other,0
2016,New Mexico,5,Other,0
2016,New York,29,Other,0
2016,North Carolina,15,Other,0
2016,North Dakota,3,Other,0
2016,Ohio,18,Other,0
2016,Oklahoma,7,Other,0
2016,Oregon,7,Other,0
2016,Pennsylvania,20,Other,0
2016,Rhode Island,4,Other,0
2016,South Carolina,9,Other,0
2016,South Dakota,3,Other,0
2016,Tennessee,11,Other,0
2016,Texas,38,Other,2
2016,Utah,6,Other,0
2016,Vermont,3,Other,0
2016,Virginia,13,Other,0
2016,Washington,12,Other,0
2016,West Virginia,5,Other,0
2016,Wisconsin,10,Other,0
2016,Wyoming,3,Other,0
2016,Hawaii,4,Other,1
2016,Texas,38,Other,0
2016,Washington,12,Other,4
2016,Alabama,9,"Hillary Clinton,  of New York",0
2016,Alaska,3,"Hillary Clinton,  of New York",0
2016,Arizona,11,"Hillary Clinton,  of New York",0
2016,Arkansas,6,"Hillary Clinton,  of New York",0
2016,California,55,"Hillary Clinton,  of New York",55
2016,Colorado,9,"Hillary Clinton,  of New York",9
2016,Connecticut,7,"Hillary Clinton,  of New York",7
2016,Delaware,3,"Hillary Clinton,  of New York",3
2016,District of Columbia,3,"Hillary Clinton,  of New York",3
2016,Florida,29,"Hillary Clinton,  of New York",0
2016,Georgia,16,"Hillary Clinton,  of New York",0
2016,Hawaii,4,"Hillary Clinton,  of New York",3
2016,Idaho,4,"Hillary Clinton,  of New York",0
2016,Illinois,20,"Hillary Clinton,  of New York",20
2016,Indiana,11,"Hillary Clinton,  of New York",0
2016,Iowa,6,"Hillary Clinton,  of New York",0
2016,Kansas,6,"Hillary Clinton,  of New York",0
2016,Kentucky,8,"Hillary Clinton,  of New York",0
2016,Louisiana,8,"Hillary Clinton,  of New York",0
2016,Maine,4,"Hillary Clinton,  of New York",3
2016,Maryland,10,"Hillary Clinton,  of New York",10
2016,Massachusetts,11,"Hillary Clinton,  of New York",11
2016,Michigan,16,"Hillary Clinton,  of New York",0
2016,Minnesota,10,"Hillary Clinton,  of New York",10
2016,Mississippi,6,"Hillary Clinton,  of New York",0
2016,Missouri,10,"Hillary Clinton,  of New York",0
2016,Montana,3,"Hillary Clinton,  of New York",0
2016,Nebraska,5,"Hillary Clinton,  of New York",0
2016,Nevada,6,"Hillary Clinton,  of New York",6
2016,New Hampshire,4,"Hillary Clinton,  of New York",4
2016,New Jersey,14,"Hillary Clinton,  of New York",14
2016,New Mexico,5,"Hillary Clinton,  of New York",5
2016,New York,29,"Hillary Clinton,  of New York",29
2016,North Carolina,15,"Hillary Clinton,  of New York",0
2016,North Dakota,3,"Hillary Clinton,  of New York",0
2016,Ohio,18,"Hillary Clinton,  of New York",0
2016,Oklahoma,7,"Hillary Clinton,  of New York",0
2016,Oregon,7,"Hillary Clinton,  of New York",7
2016,Pennsylvania,20,"Hillary Clinton,  of New York",0
2016,Rhode Island,4,"Hillary Clinton,  of New York",4
2016,South Carolina,9,"Hillary Clinton,  of New York",0
2016,South Dakota,3,"Hillary Clinton,  of New York",0
2016,Tennessee,11,"Hillary Clinton,  of New York",0
2016,Texas,38,"Hillary Clinton,  of New York",0
2016,Utah,6,"Hillary Clinton,  of New York",0
2016,Vermont,3,"Hillary Clinton,  of New York",3
2016,Virginia,13,"Hillary Clinton,  of New York",13
2016,Washington,12,"Hillary Clinton,  of New York",8
2016,West Virginia,5,"Hillary Clinton,  of New York",0
2016,Wisconsin,10,"Hillary Clinton,  of New York",0
2016,Wyoming,3,"Hillary Clinton,  of New York",0
